"journey_id","cohort","task","component","measure","operational_definition","denominator","method","baseline","proposed_target","planned_sample","observed_sample","result","evidence_status","evidence_reference"
"J03","Finance; Admin separately","Proposed allocation and wrong-match review","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J03","Finance; Admin separately","Proposed allocation and wrong-match review","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J03","Finance; Admin separately","Proposed allocation and wrong-match review","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J03","Finance; Admin separately","Proposed allocation and wrong-match review","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J03","Finance; Admin separately","Proposed allocation and wrong-match review","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J04","Operations; Finance; Read-only variant separately","Exception filter evidence outcome and return","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J04","Operations; Finance; Read-only variant separately","Exception filter evidence outcome and return","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J04","Operations; Finance; Read-only variant separately","Exception filter evidence outcome and return","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J04","Operations; Finance; Read-only variant separately","Exception filter evidence outcome and return","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J04","Operations; Finance; Read-only variant separately","Exception filter evidence outcome and return","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J05","Admin author; Compliance reviewer; Operations separately","Independent policy review and retry blocks","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J05","Admin author; Compliance reviewer; Operations separately","Independent policy review and retry blocks","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J05","Admin author; Compliance reviewer; Operations separately","Independent policy review and retry blocks","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J05","Admin author; Compliance reviewer; Operations separately","Independent policy review and retry blocks","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J05","Admin author; Compliance reviewer; Operations separately","Independent policy review and retry blocks","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J06","Lender Finance; authorised export readers separately","Customer evidence export and recovery","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J06","Lender Finance; authorised export readers separately","Customer evidence export and recovery","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J06","Lender Finance; authorised export readers separately","Customer evidence export and recovery","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J06","Lender Finance; authorised export readers separately","Customer evidence export and recovery","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J06","Lender Finance; authorised export readers separately","Customer evidence export and recovery","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J07","Finance; Operations; Read-only variant separately","Daily close and month-end return","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J07","Finance; Operations; Read-only variant separately","Daily close and month-end return","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J07","Finance; Operations; Read-only variant separately","Daily close and month-end return","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J07","Finance; Operations; Read-only variant separately","Daily close and month-end return","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J07","Finance; Operations; Read-only variant separately","Daily close and month-end return","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J08","Operations grant; Compliance reviewer revoke separately","Purpose-specific permission and revocation","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J08","Operations grant; Compliance reviewer revoke separately","Purpose-specific permission and revocation","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J08","Operations grant; Compliance reviewer revoke separately","Purpose-specific permission and revocation","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J08","Operations grant; Compliance reviewer revoke separately","Purpose-specific permission and revocation","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J08","Operations grant; Compliance reviewer revoke separately","Purpose-specific permission and revocation","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J09","Operations checkout; Finance review; payer comprehension separately","Checkout uncertain receipt and refund boundaries","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J09","Operations checkout; Finance review; payer comprehension separately","Checkout uncertain receipt and refund boundaries","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J09","Operations checkout; Finance review; payer comprehension separately","Checkout uncertain receipt and refund boundaries","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J09","Operations checkout; Finance review; payer comprehension separately","Checkout uncertain receipt and refund boundaries","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J09","Operations checkout; Finance review; payer comprehension separately","Checkout uncertain receipt and refund boundaries","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J10a","Operations assessor; independent Finance or Compliance reviewer separately","Credit assessment and insufficient information","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J10a","Operations assessor; independent Finance or Compliance reviewer separately","Credit assessment and insufficient information","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J10a","Operations assessor; independent Finance or Compliance reviewer separately","Credit assessment and insufficient information","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J10a","Operations assessor; independent Finance or Compliance reviewer separately","Credit assessment and insufficient information","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J10a","Operations assessor; independent Finance or Compliance reviewer separately","Credit assessment and insufficient information","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J10b","SME Finance","Available cash and forecast interpretation","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
